question_id,dimension_id,dimension,capability_id,capability,question,response_type,required_evidence,critical
Q001,1,Strategy and Leadership,1.1,AI vision and strategic alignment,Which statement best describes the organization's current capability for ai vision and strategic alignment?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q002,1,Strategy and Leadership,1.2,Executive ownership and governance,Which statement best describes the organization's current capability for executive ownership and governance?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q003,1,Strategy and Leadership,1.3,Policy and decision rights,Which statement best describes the organization's current capability for policy and decision rights?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q004,2,Value and Portfolio Management,2.1,Use-case discovery and prioritization,Which statement best describes the organization's current capability for use-case discovery and prioritization?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q005,2,Value and Portfolio Management,2.2,Business case and benefits realization,Which statement best describes the organization's current capability for business case and benefits realization?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q006,2,Value and Portfolio Management,2.3,Financial and capacity management,Which statement best describes the organization's current capability for financial and capacity management?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q007,3,Data and Knowledge Readiness,3.1,Data governance and ownership,Which statement best describes the organization's current capability for data governance and ownership?,single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q008,3,Data and Knowledge Readiness,3.2,Data quality and fitness,Which statement best describes the organization's current capability for data quality and fitness?,single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q009,3,Data and Knowledge Readiness,3.3,Knowledge and unstructured content readiness,Which statement best describes the organization's current capability for knowledge and unstructured content readiness?,single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q010,4,AI Engineering and Architecture,4.1,Architecture standards,Which statement best describes the organization's current capability for architecture standards?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q011,4,AI Engineering and Architecture,4.2,Model and solution engineering,Which statement best describes the organization's current capability for model and solution engineering?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q012,4,AI Engineering and Architecture,4.3,"Generative AI, RAG, and agents","Which statement best describes the organization's current capability for generative ai, rag, and agents?",single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q013,5,Infrastructure and Platforms,5.1,Compute and deployment infrastructure,Which statement best describes the organization's current capability for compute and deployment infrastructure?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q014,5,Infrastructure and Platforms,5.2,Platform engineering and self-service,Which statement best describes the organization's current capability for platform engineering and self-service?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q015,5,Infrastructure and Platforms,5.3,Resilience and continuity,Which statement best describes the organization's current capability for resilience and continuity?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q016,6,"MLOps, LLMOps, and Lifecycle Operations",6.1,Lifecycle automation,Which statement best describes the organization's current capability for lifecycle automation?,single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q017,6,"MLOps, LLMOps, and Lifecycle Operations",6.2,Evaluation and monitoring,Which statement best describes the organization's current capability for evaluation and monitoring?,single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q018,6,"MLOps, LLMOps, and Lifecycle Operations",6.3,"Incident, change, and retirement management","Which statement best describes the organization's current capability for incident, change, and retirement management?",single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q019,7,"Governance, Risk, Security, and Responsible AI",7.1,AI risk management,Which statement best describes the organization's current capability for ai risk management?,single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q020,7,"Governance, Risk, Security, and Responsible AI",7.2,"Privacy, security, and supply-chain assurance","Which statement best describes the organization's current capability for privacy, security, and supply-chain assurance?",single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q021,7,"Governance, Risk, Security, and Responsible AI",7.3,Responsible AI and human oversight,Which statement best describes the organization's current capability for responsible ai and human oversight?,single_select_0_to_5,"Document, metric, observation, interview, or system record",yes
Q022,8,"Organization, Talent, and Culture",8.1,Skills and workforce planning,Which statement best describes the organization's current capability for skills and workforce planning?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q023,8,"Organization, Talent, and Culture",8.2,Operating model and collaboration,Which statement best describes the organization's current capability for operating model and collaboration?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q024,8,"Organization, Talent, and Culture",8.3,Culture and incentives,Which statement best describes the organization's current capability for culture and incentives?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q025,9,"Adoption, Process Transformation, and Change",9.1,Process redesign,Which statement best describes the organization's current capability for process redesign?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q026,9,"Adoption, Process Transformation, and Change",9.2,Adoption and change management,Which statement best describes the organization's current capability for adoption and change management?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
Q027,9,"Adoption, Process Transformation, and Change",9.3,Measurement and operational outcomes,Which statement best describes the organization's current capability for measurement and operational outcomes?,single_select_0_to_5,"Document, metric, observation, interview, or system record",no
